Date,Daytime,Ride_Name,Park_Name,WaitTime,Fast_Pass_Plus_Tickets,Total_Ticket_Sale_In_Last_Hour,Highest_Age_Group
2024-01-30,09:00:00,Pirates of the Caribbean,Adventureland,80,8,104,Child
2024-01-30,10:00:00,Pirates of the Caribbean,Adventureland,47,11,61,Teen
2024-01-30,11:00:00,Pirates of the Caribbean,Adventureland,41,50,114,Child
2024-01-30,12:00:00,Pirates of the Caribbean,Adventureland,87,30,75,Senior
2024-01-30,13:00:00,Pirates of the Caribbean,Adventureland,57,69,156,Adult
2024-01-30,14:00:00,Pirates of the Caribbean,Adventureland,55,55,101,Teen
2024-01-30,15:00:00,Pirates of the Caribbean,Adventureland,54,120,278,Adult
2024-01-30,16:00:00,Pirates of the Caribbean,Adventureland,48,59,171,Teen
2024-01-30,17:00:00,Pirates of the Caribbean,Adventureland,87,118,295,Child
2024-01-30,18:00:00,Pirates of the Caribbean,Adventureland,46,52,123,Child
2024-01-30,19:00:00,Pirates of the Caribbean,Adventureland,83,109,191,Adult
2024-01-30,20:00:00,Pirates of the Caribbean,Adventureland,87,32,88,Child
2024-01-30,21:00:00,Pirates of the Caribbean,Adventureland,74,48,96,Child
2024-01-30,22:00:00,Pirates of the Caribbean,Adventureland,45,19,74,Adult
2024-01-30,09:00:00,Big Thunder Mountain,Frontierland,80,18,62,Adult
2024-01-30,10:00:00,Big Thunder Mountain,Frontierland,79,49,108,Adult
2024-01-30,11:00:00,Big Thunder Mountain,Frontierland,63,20,70,Adult
2024-01-30,12:00:00,Big Thunder Mountain,Frontierland,76,17,76,Child
2024-01-30,13:00:00,Big Thunder Mountain,Frontierland,52,128,255,Teen
2024-01-30,14:00:00,Big Thunder Mountain,Frontierland,85,126,236,Teen
2024-01-30,15:00:00,Big Thunder Mountain,Frontierland,44,63,141,Senior
2024-01-30,16:00:00,Big Thunder Mountain,Frontierland,42,100,169,Teen
2024-01-30,17:00:00,Big Thunder Mountain,Frontierland,82,110,275,Child
2024-01-30,18:00:00,Big Thunder Mountain,Frontierland,54,89,158,Child
2024-01-30,19:00:00,Big Thunder Mountain,Frontierland,89,76,180,Adult
2024-01-30,20:00:00,Big Thunder Mountain,Frontierland,58,18,54,Adult
2024-01-30,21:00:00,Big Thunder Mountain,Frontierland,45,33,63,Senior
2024-01-30,22:00:00,Big Thunder Mountain,Frontierland,54,45,91,Teen
2024-01-30,09:00:00,Haunted Mansion,Liberty Square,56,25,67,Senior
2024-01-30,10:00:00,Haunted Mansion,Liberty Square,48,5,61,Child
2024-01-30,11:00:00,Haunted Mansion,Liberty Square,55,32,69,Teen
2024-01-30,12:00:00,Haunted Mansion,Liberty Square,87,45,104,Child
2024-01-30,13:00:00,Haunted Mansion,Liberty Square,75,84,198,Senior
2024-01-30,14:00:00,Haunted Mansion,Liberty Square,74,90,235,Child
2024-01-30,15:00:00,Haunted Mansion,Liberty Square,56,146,274,Child
2024-01-30,16:00:00,Haunted Mansion,Liberty Square,87,159,274,Adult
2024-01-30,17:00:00,Haunted Mansion,Liberty Square,77,148,296,Adult
2024-01-30,18:00:00,Haunted Mansion,Liberty Square,67,50,128,Senior
2024-01-30,19:00:00,Haunted Mansion,Liberty Square,77,62,140,Child
2024-01-30,20:00:00,Haunted Mansion,Liberty Square,65,35,96,Teen
2024-01-30,21:00:00,Haunted Mansion,Liberty Square,63,22,82,Adult
2024-01-30,22:00:00,Haunted Mansion,Liberty Square,54,47,90,Teen
2024-01-30,09:00:00,Jungle Cruise,Adventureland,49,18,89,Child
2024-01-30,10:00:00,Jungle Cruise,Adventureland,63,33,80,Child
2024-01-30,11:00:00,Jungle Cruise,Adventureland,88,22,60,Child
2024-01-30,12:00:00,Jungle Cruise,Adventureland,50,16,118,Teen
2024-01-30,13:00:00,Jungle Cruise,Adventureland,74,121,268,Teen
2024-01-30,14:00:00,Jungle Cruise,Adventureland,89,77,167,Senior
2024-01-30,15:00:00,Jungle Cruise,Adventureland,73,91,154,Teen
2024-01-30,16:00:00,Jungle Cruise,Adventureland,40,110,282,Senior
2024-01-30,17:00:00,Jungle Cruise,Adventureland,78,136,271,Adult
2024-01-30,18:00:00,Jungle Cruise,Adventureland,60,123,212,Senior
2024-01-30,19:00:00,Jungle Cruise,Adventureland,71,49,130,Teen
2024-01-30,20:00:00,Jungle Cruise,Adventureland,41,23,54,Child
2024-01-30,21:00:00,Jungle Cruise,Adventureland,47,48,87,Teen
2024-01-30,22:00:00,Jungle Cruise,Adventureland,63,30,87,Child
2024-01-30,09:00:00,Space Mountain,Tomorrowland,44,31,77,Teen
2024-01-30,10:00:00,Space Mountain,Tomorrowland,85,22,110,Senior
2024-01-30,11:00:00,Space Mountain,Tomorrowland,80,18,102,Child
2024-01-30,12:00:00,Space Mountain,Tomorrowland,43,20,62,Adult
2024-01-30,13:00:00,Space Mountain,Tomorrowland,54,90,208,Senior
2024-01-30,14:00:00,Space Mountain,Tomorrowland,44,89,286,Child
2024-01-30,15:00:00,Space Mountain,Tomorrowland,42,49,115,Adult
2024-01-30,16:00:00,Space Mountain,Tomorrowland,61,47,127,Teen
2024-01-30,17:00:00,Space Mountain,Tomorrowland,44,70,148,Senior
2024-01-30,18:00:00,Space Mountain,Tomorrowland,72,59,135,Teen
2024-01-30,19:00:00,Space Mountain,Tomorrowland,55,76,171,Teen
2024-01-30,20:00:00,Space Mountain,Tomorrowland,57,26,54,Child
