Date,Daytime,Ride_Name,Fast_Pass_Plus_Tickets,Total_Ticket_Sale_In_Last_Hour,Highest_Age_Group
2024-01-27,09:00:00,Enchanted Tiki Room,4,64,Adult
2024-01-27,10:00:00,Enchanted Tiki Room,16,81,Teen
2024-01-27,11:00:00,Enchanted Tiki Room,25,63,Child
2024-01-27,12:00:00,Enchanted Tiki Room,8,104,Child
2024-01-27,13:00:00,Enchanted Tiki Room,45,123,Teen
2024-01-27,14:00:00,Enchanted Tiki Room,113,229,Child
2024-01-27,15:00:00,Enchanted Tiki Room,88,243,Senior
2024-01-27,16:00:00,Enchanted Tiki Room,69,156,Adult
2024-01-27,17:00:00,Enchanted Tiki Room,55,101,Teen
2024-01-27,18:00:00,Enchanted Tiki Room,120,278,Adult
2024-01-27,19:00:00,Enchanted Tiki Room,59,171,Teen
2024-01-27,20:00:00,Enchanted Tiki Room,41,98,Child
2024-01-27,21:00:00,Enchanted Tiki Room,25,55,Child
2024-01-27,22:00:00,Enchanted Tiki Room,31,72,Adult
2024-01-27,09:00:00,Jungle Cruise,19,55,Child
2024-01-27,10:00:00,Jungle Cruise,10,98,Adult
2024-01-27,11:00:00,Jungle Cruise,40,96,Teen
2024-01-27,12:00:00,Jungle Cruise,5,58,Teen
2024-01-27,13:00:00,Jungle Cruise,116,297,Child
2024-01-27,14:00:00,Jungle Cruise,91,159,Child
2024-01-27,15:00:00,Jungle Cruise,75,197,Senior
2024-01-27,16:00:00,Jungle Cruise,147,262,Adult
2024-01-27,17:00:00,Jungle Cruise,58,141,Adult
2024-01-27,18:00:00,Jungle Cruise,79,153,Adult
2024-01-27,19:00:00,Jungle Cruise,165,279,Child
2024-01-27,20:00:00,Jungle Cruise,27,88,Teen
2024-01-27,21:00:00,Jungle Cruise,30,60,Senior
2024-01-27,22:00:00,Jungle Cruise,37,67,Teen
2024-01-27,09:00:00,The Magic Carpets of Aladdin,8,91,Teen
2024-01-27,10:00:00,The Magic Carpets of Aladdin,14,54,Senior
2024-01-27,11:00:00,The Magic Carpets of Aladdin,8,84,Teen
2024-01-27,12:00:00,The Magic Carpets of Aladdin,17,90,Senior
2024-01-27,13:00:00,The Magic Carpets of Aladdin,117,201,Senior
2024-01-27,14:00:00,The Magic Carpets of Aladdin,52,136,Teen
2024-01-27,15:00:00,The Magic Carpets of Aladdin,87,163,Adult
2024-01-27,16:00:00,The Magic Carpets of Aladdin,140,291,Senior
2024-01-27,17:00:00,The Magic Carpets of Aladdin,105,249,Adult
2024-01-27,18:00:00,The Magic Carpets of Aladdin,54,156,Senior
2024-01-27,19:00:00,The Magic Carpets of Aladdin,67,123,Child
2024-01-27,20:00:00,The Magic Carpets of Aladdin,17,57,Teen
2024-01-27,21:00:00,The Magic Carpets of Aladdin,47,100,Child
2024-01-27,22:00:00,The Magic Carpets of Aladdin,33,74,Senior
2024-01-27,09:00:00,Pirates of the Caribbean,25,117,Child
2024-01-27,10:00:00,Pirates of the Caribbean,25,64,Adult
2024-01-27,11:00:00,Pirates of the Caribbean,12,93,Adult
2024-01-27,12:00:00,Pirates of the Caribbean,16,105,Senior
2024-01-27,13:00:00,Pirates of the Caribbean,60,100,Adult
2024-01-27,14:00:00,Pirates of the Caribbean,124,228,Teen
2024-01-27,15:00:00,Pirates of the Caribbean,136,229,Child
2024-01-27,16:00:00,Pirates of the Caribbean,102,260,Teen
2024-01-27,17:00:00,Pirates of the Caribbean,57,139,Teen
2024-01-27,18:00:00,Pirates of the Caribbean,143,238,Child
2024-01-27,19:00:00,Pirates of the Caribbean,102,253,Senior
2024-01-27,20:00:00,Pirates of the Caribbean,14,51,Adult
2024-01-27,21:00:00,Pirates of the Caribbean,25,69,Child
2024-01-27,22:00:00,Pirates of the Caribbean,17,65,Child
2024-01-27,09:00:00,Swiss Family Treehouse,11,112,Teen
2024-01-27,10:00:00,Swiss Family Treehouse,24,66,Teen
2024-01-27,11:00:00,Swiss Family Treehouse,32,83,Senior
2024-01-27,12:00:00,Swiss Family Treehouse,31,77,Teen
2024-01-27,13:00:00,Swiss Family Treehouse,110,282,Senior
2024-01-27,14:00:00,Swiss Family Treehouse,136,271,Adult
2024-01-27,15:00:00,Swiss Family Treehouse,123,212,Senior
2024-01-27,16:00:00,Swiss Family Treehouse,49,130,Teen
2024-01-27,17:00:00,Swiss Family Treehouse,47,116,Child
2024-01-27,18:00:00,Swiss Family Treehouse,118,250,Teen
2024-01-27,19:00:00,Swiss Family Treehouse,93,250,Child
2024-01-27,20:00:00,Swiss Family Treehouse,13,54,Teen
2024-01-27,21:00:00,Swiss Family Treehouse,12,54,Adult
2024-01-27,22:00:00,Swiss Family Treehouse,29,54,Teen
2024-01-27,09:00:00,Fantasyland,31,85,Teen
2024-01-27,10:00:00,Fantasyland,16,119,Senior
2024-01-27,11:00:00,Fantasyland,29,81,Senior
2024-01-27,12:00:00,Fantasyland,9,74,Child
2024-01-27,13:00:00,Fantasyland,116,268,Adult
2024-01-27,14:00:00,Fantasyland,90,208,Senior
2024-01-27,15:00:00,Fantasyland,89,286,Child
2024-01-27,16:00:00,Fantasyland,49,115,Adult
2024-01-27,17:00:00,Fantasyland,47,127,Teen
2024-01-27,18:00:00,Fantasyland,70,148,Senior
2024-01-27,19:00:00,Fantasyland,59,135,Teen
2024-01-27,20:00:00,Fantasyland,33,67,Teen
2024-01-27,21:00:00,Fantasyland,26,54,Child
2024-01-27,22:00:00,Fantasyland,29,53,Child
2024-01-27,09:00:00,The Barnstormer,13,61,Teen
2024-01-27,10:00:00,The Barnstormer,37,102,Senior
2024-01-27,11:00:00,The Barnstormer,24,77,Child
2024-01-27,12:00:00,The Barnstormer,21,71,Child
2024-01-27,13:00:00,The Barnstormer,76,199,Senior
2024-01-27,14:00:00,The Barnstormer,75,173,Senior
2024-01-27,15:00:00,The Barnstormer,51,139,Adult
2024-01-27,16:00:00,The Barnstormer,93,155,Child
2024-01-27,17:00:00,The Barnstormer,132,248,Child
2024-01-27,18:00:00,The Barnstormer,117,291,Child
2024-01-27,19:00:00,The Barnstormer,54,112,Senior
2024-01-27,20:00:00,The Barnstormer,44,82,Teen
2024-01-27,21:00:00,The Barnstormer,28,53,Child
2024-01-27,22:00:00,The Barnstormer,15,61,Child
2024-01-27,09:00:00,Dumbo the Flying Elephant,24,80,Child
2024-01-27,10:00:00,Dumbo the Flying Elephant,35,81,Child
2024-01-27,11:00:00,Dumbo the Flying Elephant,19,60,Adult
2024-01-27,12:00:00,Dumbo the Flying Elephant,15,83,Adult
2024-01-27,13:00:00,Dumbo the Flying Elephant,62,161,Senior
2024-01-27,14:00:00,Dumbo the Flying Elephant,68,133,Adult
2024-01-27,15:00:00,Dumbo the Flying Elephant,87,217,Child
2024-01-27,16:00:00,Dumbo the Flying Elephant,45,102,Child
2024-01-27,17:00:00,Dumbo the Flying Elephant,56,118,Teen
2024-01-27,18:00:00,Dumbo the Flying Elephant,88,229,Teen
2024-01-27,19:00:00,Dumbo the Flying Elephant,110,189,Child
2024-01-27,20:00:00,Dumbo the Flying Elephant,28,65,Adult
2024-01-27,21:00:00,Dumbo the Flying Elephant,29,60,Adult
2024-01-27,22:00:00,Dumbo the Flying Elephant,48,89,Child
2024-01-27,09:00:00,Enchanted Tales with Belle,29,120,Child
2024-01-27,10:00:00,Enchanted Tales with Belle,15,67,Child
2024-01-27,11:00:00,Enchanted Tales with Belle,26,63,Teen
2024-01-27,12:00:00,Enchanted Tales with Belle,20,84,Teen
2024-01-27,13:00:00,Enchanted Tales with Belle,114,283,Teen
2024-01-27,14:00:00,Enchanted Tales with Belle,138,275,Adult
2024-01-27,15:00:00,Enchanted Tales with Belle,104,229,Adult
2024-01-27,16:00:00,Enchanted Tales with Belle,37,113,Senior
2024-01-27,17:00:00,Enchanted Tales with Belle,53,170,Child
2024-01-27,18:00:00,Enchanted Tales with Belle,100,185,Teen
2024-01-27,19:00:00,Enchanted Tales with Belle,100,263,Teen
2024-01-27,20:00:00,Enchanted Tales with Belle,47,97,Senior
2024-01-27,21:00:00,Enchanted Tales with Belle,17,85,Child
2024-01-27,22:00:00,Enchanted Tales with Belle,16,54,Child
2024-01-27,09:00:00,it's a small world,41,97,Teen
2024-01-27,10:00:00,it's a small world,14,105,Child
2024-01-27,11:00:00,it's a small world,25,89,Child
2024-01-27,12:00:00,it's a small world,18,95,Teen
2024-01-27,13:00:00,it's a small world,90,270,Adult
2024-01-27,14:00:00,it's a small world,141,299,Senior
2024-01-27,15:00:00,it's a small world,137,258,Teen
2024-01-27,16:00:00,it's a small world,92,160,Teen
2024-01-27,17:00:00,it's a small world,85,145,Senior
2024-01-27,18:00:00,it's a small world,38,106,Adult
2024-01-27,19:00:00,it's a small world,177,300,Senior
2024-01-27,20:00:00,it's a small world,33,92,Adult
2024-01-27,21:00:00,it's a small world,16,60,Senior
2024-01-27,22:00:00,it's a small world,26,52,Teen
2024-01-27,09:00:00,Mad Tea Party,26,75,Adult
2024-01-27,10:00:00,Mad Tea Party,17,89,Teen
2024-01-27,11:00:00,Mad Tea Party,10,53,Senior
2024-01-27,12:00:00,Mad Tea Party,21,92,Child
2024-01-27,13:00:00,Mad Tea Party,113,297,Adult
2024-01-27,14:00:00,Mad Tea Party,122,264,Senior
2024-01-27,15:00:00,Mad Tea Party,153,273,Adult
2024-01-27,16:00:00,Mad Tea Party,36,107,Adult
2024-01-27,17:00:00,Mad Tea Party,70,145,Adult
2024-01-27,18:00:00,Mad Tea Party,36,109,Senior
2024-01-27,19:00:00,Mad Tea Party,100,188,Adult
2024-01-27,20:00:00,Mad Tea Party,41,77,Child
2024-01-27,21:00:00,Mad Tea Party,24,74,Adult
2024-01-27,22:00:00,Mad Tea Party,25,52,Child
2024-01-27,09:00:00,Mickey's PhilharMagic,46,116,Teen
2024-01-27,10:00:00,Mickey's PhilharMagic,31,96,Child
2024-01-27,11:00:00,Mickey's PhilharMagic,41,92,Adult
2024-01-27,12:00:00,Mickey's PhilharMagic,16,65,Adult
2024-01-27,13:00:00,Mickey's PhilharMagic,117,270,Adult
2024-01-27,14:00:00,Mickey's PhilharMagic,106,203,Adult
2024-01-27,15:00:00,Mickey's PhilharMagic,82,241,Teen
2024-01-27,16:00:00,Mickey's PhilharMagic,106,207,Senior
2024-01-27,17:00:00,Mickey's PhilharMagic,145,273,Teen
2024-01-27,18:00:00,Mickey's PhilharMagic,124,257,Adult
2024-01-27,19:00:00,Mickey's PhilharMagic,96,203,Child
2024-01-27,20:00:00,Mickey's PhilharMagic,27,69,Teen
2024-01-27,21:00:00,Mickey's PhilharMagic,31,77,Senior
2024-01-27,22:00:00,Mickey's PhilharMagic,38,78,Teen
2024-01-27,09:00:00,The Many Adventures of Winnie the Pooh,41,115,Teen
2024-01-27,10:00:00,The Many Adventures of Winnie the Pooh,14,60,Adult
2024-01-27,11:00:00,The Many Adventures of Winnie the Pooh,13,61,Adult
2024-01-27,12:00:00,The Many Adventures of Winnie the Pooh,14,78,Teen
2024-01-27,13:00:00,The Many Adventures of Winnie the Pooh,33,106,Teen
2024-01-27,14:00:00,The Many Adventures of Winnie the Pooh,109,221,Child
2024-01-27,15:00:00,The Many Adventures of Winnie the Pooh,93,216,Teen
2024-01-27,16:00:00,The Many Adventures of Winnie the Pooh,148,283,Senior
2024-01-27,17:00:00,The Many Adventures of Winnie the Pooh,95,226,Teen
2024-01-27,18:00:00,The Many Adventures of Winnie the Pooh,69,137,Child
2024-01-27,19:00:00,The Many Adventures of Winnie the Pooh,167,292,Child
2024-01-27,20:00:00,The Many Adventures of Winnie the Pooh,47,99,Teen
2024-01-27,21:00:00,The Many Adventures of Winnie the Pooh,33,61,Senior
2024-01-27,22:00:00,The Many Adventures of Winnie the Pooh,30,53,Teen
2024-01-27,09:00:00,Peter Pan's Flight,23,65,Teen
2024-01-27,10:00:00,Peter Pan's Flight,42,109,Adult
2024-01-27,11:00:00,Peter Pan's Flight,47,106,Senior
2024-01-27,12:00:00,Peter Pan's Flight,40,120,Teen
2024-01-27,13:00:00,Peter Pan's Flight,166,290,Senior
2024-01-27,14:00:00,Peter Pan's Flight,82,215,Teen
2024-01-27,15:00:00,Peter Pan's Flight,100,263,Senior
2024-01-27,16:00:00,Peter Pan's Flight,97,260,Adult
2024-01-27,17:00:00,Peter Pan's Flight,68,212,Adult
2024-01-27,18:00:00,Peter Pan's Flight,61,160,Adult
2024-01-27,19:00:00,Peter Pan's Flight,105,181,Child
2024-01-27,20:00:00,Peter Pan's Flight,17,58,Teen
2024-01-27,21:00:00,Peter Pan's Flight,22,74,Teen
2024-01-27,22:00:00,Peter Pan's Flight,25,54,Senior
2024-01-27,09:00:00,Prince Charming's Regal Carrousel,36,92,Senior
2024-01-27,10:00:00,Prince Charming's Regal Carrousel,9,103,Teen
2024-01-27,11:00:00,Prince Charming's Regal Carrousel,30,103,Child
2024-01-27,12:00:00,Prince Charming's Regal Carrousel,35,98,Child
2024-01-27,13:00:00,Prince Charming's Regal Carrousel,75,190,Senior
2024-01-27,14:00:00,Prince Charming's Regal Carrousel,98,207,Teen
2024-01-27,15:00:00,Prince Charming's Regal Carrousel,83,224,Adult
2024-01-27,16:00:00,Prince Charming's Regal Carrousel,95,211,Child
2024-01-27,17:00:00,Prince Charming's Regal Carrousel,80,199,Senior
2024-01-27,18:00:00,Prince Charming's Regal Carrousel,100,285,Senior
2024-01-27,19:00:00,Prince Charming's Regal Carrousel,65,132,Child
2024-01-27,20:00:00,Prince Charming's Regal Carrousel,16,75,Child
2024-01-27,21:00:00,Prince Charming's Regal Carrousel,43,91,Teen
2024-01-27,22:00:00,Prince Charming's Regal Carrousel,25,79,Child
2024-01-27,09:00:00,Princess Fairytale Hall,25,83,Adult
2024-01-27,10:00:00,Princess Fairytale Hall,27,77,Adult
2024-01-27,11:00:00,Princess Fairytale Hall,27,93,Adult
2024-01-27,12:00:00,Princess Fairytale Hall,22,103,Child
2024-01-27,13:00:00,Princess Fairytale Hall,66,220,Child
2024-01-27,14:00:00,Princess Fairytale Hall,70,189,Child
2024-01-27,15:00:00,Princess Fairytale Hall,180,299,Child
2024-01-27,16:00:00,Princess Fairytale Hall,88,293,Teen
2024-01-27,17:00:00,Princess Fairytale Hall,85,151,Child
2024-01-27,18:00:00,Princess Fairytale Hall,89,259,Teen
2024-01-27,19:00:00,Princess Fairytale Hall,60,132,Child
2024-01-27,20:00:00,Princess Fairytale Hall,29,86,Senior
2024-01-27,21:00:00,Princess Fairytale Hall,34,94,Adult
2024-01-27,22:00:00,Princess Fairytale Hall,17,60,Teen
2024-01-27,09:00:00,Seven Dwarfs Mine Train,10,89,Child
2024-01-27,10:00:00,Seven Dwarfs Mine Train,37,89,Senior
2024-01-27,11:00:00,Seven Dwarfs Mine Train,17,100,Child
2024-01-27,12:00:00,Seven Dwarfs Mine Train,9,81,Adult
2024-01-27,13:00:00,Seven Dwarfs Mine Train,135,275,Child
2024-01-27,14:00:00,Seven Dwarfs Mine Train,135,244,Child
2024-01-27,15:00:00,Seven Dwarfs Mine Train,89,188,Senior
2024-01-27,16:00:00,Seven Dwarfs Mine Train,111,269,Child
2024-01-27,17:00:00,Seven Dwarfs Mine Train,115,229,Adult
2024-01-27,18:00:00,Seven Dwarfs Mine Train,59,103,Senior
2024-01-27,19:00:00,Seven Dwarfs Mine Train,75,225,Senior
2024-01-27,20:00:00,Seven Dwarfs Mine Train,36,73,Teen
2024-01-27,21:00:00,Seven Dwarfs Mine Train,24,77,Adult
2024-01-27,22:00:00,Seven Dwarfs Mine Train,49,89,Senior
2024-01-27,09:00:00,Under the Sea: Journey of the Little Mermaid,35,109,Adult
2024-01-27,10:00:00,Under the Sea: Journey of the Little Mermaid,19,91,Child
2024-01-27,11:00:00,Under the Sea: Journey of the Little Mermaid,29,85,Teen
2024-01-27,12:00:00,Under the Sea: Journey of the Little Mermaid,45,109,Senior
2024-01-27,13:00:00,Under the Sea: Journey of the Little Mermaid,56,186,Senior
2024-01-27,14:00:00,Under the Sea: Journey of the Little Mermaid,65,183,Senior
2024-01-27,15:00:00,Under the Sea: Journey of the Little Mermaid,64,154,Adult
2024-01-27,16:00:00,Under the Sea: Journey of the Little Mermaid,72,187,Adult
2024-01-27,17:00:00,Under the Sea: Journey of the Little Mermaid,73,242,Teen
2024-01-27,18:00:00,Under the Sea: Journey of the Little Mermaid,45,121,Senior
2024-01-27,19:00:00,Under the Sea: Journey of the Little Mermaid,106,225,Teen
2024-01-27,20:00:00,Under the Sea: Journey of the Little Mermaid,47,94,Senior
2024-01-27,21:00:00,Under the Sea: Journey of the Little Mermaid,17,78,Child
2024-01-27,22:00:00,Under the Sea: Journey of the Little Mermaid,24,68,Senior
2024-01-27,09:00:00,Frontierland,20,81,Adult
2024-01-27,10:00:00,Frontierland,44,110,Adult
2024-01-27,11:00:00,Frontierland,42,104,Adult
2024-01-27,12:00:00,Frontierland,33,95,Adult
2024-01-27,13:00:00,Frontierland,68,178,Teen
2024-01-27,14:00:00,Frontierland,69,130,Teen
2024-01-27,15:00:00,Frontierland,60,180,Teen
2024-01-27,16:00:00,Frontierland,54,149,Senior
2024-01-27,17:00:00,Frontierland,91,170,Adult
2024-01-27,18:00:00,Frontierland,70,125,Teen
2024-01-27,19:00:00,Frontierland,65,175,Adult
